area,bedrooms,age,price
918,4,39,164000
972,1,32,129000
983,2,36,135000
1006,3,0,349000
1032,3,12,290000
1040,2,14,259000
1048,4,12,312000
1054,2,4,308000
1062,5,2,402000
1145,2,29,195000
1150,3,14,298000
1177,1,12,262000
1216,2,35,174000
1233,3,37,200000
1246,2,25,222000
1292,4,24,293000
1311,3,26,263000
1325,3,1,403000
1343,2,12,299000
1412,2,29,247000
1413,3,14,350000
1446,2,1,393000
1547,2,8,357000
1578,2,34,237000
1643,3,33,279000
1679,4,20,370000
1691,2,29,278000
1757,3,20,355000
1782,2,11,405000
1789,2,8,397000
1800,4,12,425000
1801,3,4,457000
1846,3,23,356000
1886,2,9,409000
1909,2,4,434000
1969,4,21,413000
1975,3,29,348000
1980,5,37,349000
1984,3,35,317000
1997,4,22,411000
2003,3,39,290000
2016,3,30,354000
2016,3,21,412000
2049,1,16,373000
2060,5,17,458000
2067,3,30,362000
2084,3,3,496000
2144,4,38,349000
2150,2,12,437000
2185,3,29,378000
2221,3,26,391000
2272,3,5,512000
2275,3,6,524000
2297,2,33,348000
2324,2,15,458000
2500,3,1,570000
2505,3,38,376000
2519,3,11,515000
2538,2,9,508000
2567,4,0,605000
2608,3,10,540000
2630,2,7,552000
2642,3,7,528000
2644,5,29,504000
2653,1,35,363000
2682,3,22,494000
2690,1,4,510000
2691,3,24,468000
2737,3,9,571000
2786,3,4,582000
2807,1,3,548000
2810,2,35,413000
2846,3,11,565000
2851,5,21,555000
2855,4,11,589000
2873,4,35,465000
2889,1,33,410000
2901,5,6,633000
2910,1,39,385000
2922,3,26,490000
2948,3,13,574000
2972,3,7,606000
3021,3,1,629000
3034,3,12,604000
3047,1,6,567000
3048,2,9,585000
3067,1,37,417000
3072,5,14,632000
3117,4,38,501000
3118,4,5,681000
3197,1,18,519000
3211,1,37,429000
3224,3,28,536000
3244,4,18,619000
3290,3,33,528000
3302,2,36,479000
3338,2,0,660000
3412,3,35,517000
3420,3,10,657000
3434,3,26,566000
